display_item,title,file,n_rows,note
Table 1,Table 1 Between-process comparisons of regional differences.,main/tables/Table1.csv,3,"Note. Each region included 42,000 players, and each regional contrast involved 84,000 players. Δ denotes the adjusted mean in the first region minus that in the second. Means for all three regions were estimated under the same reference conditions, with equal weights across tiers and, separately, across positions. Game patches were weighted by their proportions in the pooled analysis sample, and match duration was fixed at that sample’s mean. Maintenance and signalling retained their respective full-sample standardized scoring scales. ΔM − ΔS was calculated from unrounded joint estimates; positive values indicate a larger regional adjusted mean difference for maintenance. Pointwise 95% confidence intervals were obtained from 1,000 resamples of players within region × tier strata, using joint first-order updates to preserve the covariance between processes. P values correspond to two-sided Wald tests of ΔM − ΔS and were Holm-adjusted within a family of 12 tests comprising nine regional comparisons of the overall or process scores and three between-process contrasts."
Supplementary Table 1,Supplementary Table 1 Summary of indicator relationships,supplementary/tables/TableS1.csv,11,"Note. Values are mean absolute Pearson correlations. The pooled column uses indicator values after removal of regional means for 126,000 players; regional columns each include 42,000 players. Each player contributes the mean of 20 context-adjusted match records. Indicator pairs receive equal weight. Combat–economy references comprise kills, reverse-scored deaths, gold and damage; assists are listed separately. The vision score is excluded from maintenance scoring. Signed regional matrices appear in Supplementary Fig. 1, and indicator definitions in Supplementary Table 21a."
Supplementary Table 2,Supplementary Table 2 Comparisons of two indicator groupings,supplementary/tables/TableS2.csv,2,"Note. The matrix uses 126,000 players after removal of regional means. Within- and between-group means weight indicator pairs equally; Δ is their difference. The maintenance/signalling grouping has 39 within-group and 27 between-group pairs; the functional ping grouping has 10 and 26. Fixed group sizes of 3/9 and 3/2/4 yield 220 and 1,260 assignments, respectively. Of these, 1 and 693 attain or exceed the observed statistic. Exact one-sided P values include ties; Holm adjustment covers both tests. Columns are rounded independently."
Supplementary Table 3,Supplementary Table 3 Grouping contrasts under alternative correlation specifications,supplementary/tables/TableS3.csv,8,"Note. Δ is defined in Supplementary Table 2; positive values indicate stronger within-group than between-group absolute correlations. Pooled player-level analyses include 126,000 players and within-region analyses 42,000 each, with 20 records averaged per player. Player–match analyses include 2,520,000 records. The pooled rank analysis ranks indicators before removing regional rank means; within-region Spearman correlations are computed separately."
Supplementary Table 4a,Supplementary Table 4a Regional adjusted means,supplementary/tables/TableS4a.csv,3,"Note. The analysis included 126,000 players, 2,519,994 player–match records and 2,240,349 unique matches. Regressions included region, sampling tier, team position, patch and match duration. Adjusted means used equal weights across seven tiers and, separately, five positions, the pooled patch distribution and mean match duration. Values are adjusted means and 95% CIs. Maintenance and signalling each retain their full-sample standardized scale; the overall score is their mean. Pointwise 95% CIs used 1,000 player resamples within region × tier strata with joint first-order updates; all responses shared the resampling weights."
Supplementary Table 4b,Supplementary Table 4b Regional comparisons of overall and process scores,supplementary/tables/TableS4b.csv,9,"Note. The analysis included 126,000 players, 2,519,994 player–match records and 2,240,349 unique matches. Regressions included region, sampling tier, team position, patch and match duration. Adjusted means used equal weights across seven tiers and, separately, five positions, the pooled patch distribution and mean match duration. Δ is the first region minus the second; d divides Δ by the pooled SD of adjusted player scores in the two regions. Each contrast includes 84,000 players. Pointwise 95% CIs used 1,000 player resamples within region × tier strata with joint first-order updates; all responses shared the resampling weights. The denominator of d is updated jointly. These nine two-sided Wald tests and the three contrasts in Supplementary Table 4c share a Holm family."
Supplementary Table 4c,Supplementary Table 4c Direct comparisons of regional differences between processes,supplementary/tables/TableS4c.csv,3,"Note. The analysis included 126,000 players, 2,519,994 player–match records and 2,240,349 unique matches. Regressions included region, sampling tier, team position, patch and match duration. Adjusted means used equal weights across seven tiers and, separately, five positions, the pooled patch distribution and mean match duration. Each contrast includes 84,000 players. ΔM−ΔS compares the directed regional mean differences on the two separately standardized process scales. Pointwise 95% CIs used 1,000 player resamples within region × tier strata with joint first-order updates; all responses shared the resampling weights. These three two-sided Wald tests share a Holm family with the nine comparisons in Supplementary Table 4b."
Supplementary Table 5a,Supplementary Table 5a Alternative overall scoring and shared-match sensitivity analyses,supplementary/tables/TableS5a.csv,3,"Note. Values are estimates and 95% CIs. The equal-indicator overall score directly averages the 12 standardized information indicators and uses player-resampling intervals. Two-way clustering retains primary scores and uses player and unique-match covariance, subtracting the player–match intersection, with normal-approximation intervals. The sample includes 126,000 players and 2,240,349 unique matches; 256,293 matches contain multiple focal players. Holm-adjusted P < 0.001 for all three alternative-score comparisons and all 12 comparisons in the separate two-way-clustering family."
Supplementary Table 5b,Supplementary Table 5b Between-process comparisons with equal weights across nine pings,supplementary/tables/TableS5b.csv,3,"Note. The analysis included 126,000 players, 2,519,994 player–match records and 2,240,349 unique matches. Regressions included region, sampling tier, team position, patch and match duration. Adjusted means used equal weights across seven tiers and, separately, five positions, the pooled patch distribution and mean match duration. The alternative signalling score equally averages all nine standardized pings and is standardized again; maintenance scoring is unchanged. Contrasts are first region minus second. Pointwise 95% CIs used 1,000 player resamples within region × tier strata with joint first-order updates; all responses shared the resampling weights. The three two-sided Wald tests of ΔM−ΔS form a separate Holm family."
Supplementary Table 6a,Supplementary Table 6a Regional adjusted means for individual pings,supplementary/tables/TableS6a.csv,9,"Note. The analysis included 126,000 players, 2,519,994 player–match records and 2,240,349 unique matches. Regressions included region, sampling tier, team position, patch and match duration. Adjusted means used equal weights across seven tiers and, separately, five positions, the pooled patch distribution and mean match duration. Each ping rate is log(1+x)-transformed, winsorized at the 1st and 99th percentiles and standardized. Values are adjusted means and 95% CIs. Pointwise 95% CIs used 1,000 player resamples within region × tier strata with joint first-order updates; all responses shared the resampling weights."
