variable,label,definition,analytical_role,raw_field,raw_unit,scoring,contributes_to,notes
wards_placed_pm,Ward placement,Number of vision devices placed,Maintenance,wardsPlaced,Events per min,Rate per minute; log(1+x); full-sample 1st/99th-percentile winsorization and standardization. Context-adjusted player means are used for correlations.,Maintenance,
wards_killed_pm,Ward clearing,Number of opponents’ vision devices cleared,Maintenance,wardsKilled,Events per min,Rate per minute; log(1+x); full-sample 1st/99th-percentile winsorization and standardization. Context-adjusted player means are used for correlations.,Maintenance,
control_wards_bought_pm,Control ward purchases,Number of control wards purchased,Maintenance,visionWardsBoughtInGame,Events per min,Rate per minute; log(1+x); full-sample 1st/99th-percentile winsorization and standardization. Context-adjusted player means are used for correlations.,Maintenance,
enemy_missing_pings_pm,Enemy missing,Cue that an enemy has left a known location,Signalling: task-state and attention cues,enemyMissingPings,Events per min,Rate per minute; log(1+x); full-sample 1st/99th-percentile winsorization and standardization. Context-adjusted player means are used for correlations.,Signalling,Natural-unit ping analyses use counts/duration in minutes × 10 without log transformation or winsorization.
enemy_vision_pings_pm,Enemy vision,Cue indicating enemy vision,Signalling: task-state and attention cues,enemyVisionPings,Events per min,Rate per minute; log(1+x); full-sample 1st/99th-percentile winsorization and standardization. Context-adjusted player means are used for correlations.,Signalling,Natural-unit ping analyses use counts/duration in minutes × 10 without log transformation or winsorization.
command_pings_pm,Command/attention,Cue drawing teammates’ attention to a location,Signalling: task-state and attention cues,commandPings,Events per min,Rate per minute; log(1+x); full-sample 1st/99th-percentile winsorization and standardization. Context-adjusted player means are used for correlations.,Signalling,Natural-unit ping analyses use counts/duration in minutes × 10 without log transformation or winsorization.
need_vision_pings_pm,Need vision,Request for vision in an indicated area,Signalling: coordination requests,needVisionPings,Events per min,Rate per minute; log(1+x); full-sample 1st/99th-percentile winsorization and standardization. Context-adjusted player means are used for correlations.,Signalling,Natural-unit ping analyses use counts/duration in minutes × 10 without log transformation or winsorization.
assist_me_pings_pm,Assist me,Request for assistance,Signalling: coordination requests,assistMePings,Events per min,Rate per minute; log(1+x); full-sample 1st/99th-percentile winsorization and standardization. Context-adjusted player means are used for correlations.,Signalling,Natural-unit ping analyses use counts/duration in minutes × 10 without log transformation or winsorization.
on_my_way_pings_pm,On my way,Cue indicating movement towards a location,Signalling: action-oriented cues,onMyWayPings,Events per min,Rate per minute; log(1+x); full-sample 1st/99th-percentile winsorization and standardization. Context-adjusted player means are used for correlations.,Signalling,Natural-unit ping analyses use counts/duration in minutes × 10 without log transformation or winsorization.
push_pings_pm,Push,Cue to push,Signalling: action-oriented cues,pushPings,Events per min,Rate per minute; log(1+x); full-sample 1st/99th-percentile winsorization and standardization. Context-adjusted player means are used for correlations.,Signalling,Natural-unit ping analyses use counts/duration in minutes × 10 without log transformation or winsorization.
all_in_pings_pm,All in,Cue to commit to an attack,Signalling: action-oriented cues,allInPings,Events per min,Rate per minute; log(1+x); full-sample 1st/99th-percentile winsorization and standardization. Context-adjusted player means are used for correlations.,Signalling,Natural-unit ping analyses use counts/duration in minutes × 10 without log transformation or winsorization.
get_back_pings_pm,Get back,Cue to retreat or move back,Signalling: action-oriented cues,getBackPings,Events per min,Rate per minute; log(1+x); full-sample 1st/99th-percentile winsorization and standardization. Context-adjusted player means are used for correlations.,Signalling,Natural-unit ping analyses use counts/duration in minutes × 10 without log transformation or winsorization.
assists_pm,Assists,Number of assists in teammates’ kills,Performance reference,assists,Events per min,Rate per minute; log(1+x); full-sample 1st/99th-percentile winsorization and standardization. Context-adjusted player means are used for correlations.,Neither process score,
kills_pm,Kills,Number of kills,Performance reference,kills,Events per min,Rate per minute; log(1+x); full-sample 1st/99th-percentile winsorization and standardization. Context-adjusted player means are used for correlations.,Neither process score,
deaths_pm,Fewer deaths,Number of deaths; reverse-scored in correlation analyses,Performance reference,deaths,Events per min,Rate per minute; log(1+x); full-sample 1st/99th-percentile winsorization and standardization. Context-adjusted player means are used for correlations.,Neither process score,Deaths are reverse-scored only in indicator-correlation analyses.
gold_earned_pm,Gold,Total gold earned,Performance reference,goldEarned,Gold per min,Rate per minute; log(1+x); full-sample 1st/99th-percentile winsorization and standardization. Context-adjusted player means are used for correlations.,Neither process score,
total_damage_dealt_pm,Damage,Total damage dealt,Performance reference,totalDamageDealt,Damage units per min,Rate per minute; log(1+x); full-sample 1st/99th-percentile winsorization and standardization. Context-adjusted player means are used for correlations.,Neither process score,
vision_score_pm,Vision score,Vision score supplied by the game system,Diagnostic indicator,visionScore,Points per min,Rate per minute; log(1+x); full-sample 1st/99th-percentile winsorization and standardization. Context-adjusted player means are used for correlations.,Neither process score,
